"site","campo","valor_anterior","valor_nuevo","confianza","motivo"
"100","ir_ui_view.3537.Hero.bg","","portapizza/hero/portada.png","0.98","carpeta zip 'portapizza' (exact, 1.00); coincide con el site Jev=0.98; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual; URL final /web/image/res.company/100/microsite_hero_image"
"100","ir_ui_view.3537.SEC1.bg","","portapizza/sec1/sec1.png","0.98","carpeta zip 'portapizza' (exact, 1.00); coincide con el site Jev=0.98; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual; URL final /web/image/res.company/100/microsite_intro_image"
"100","ir_ui_view.3537.Separador.bg","","portapizza/sec2/separador.png","0.98","carpeta zip 'portapizza' (exact, 1.00); coincide con el site Jev=0.98; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual; URL final /web/image/res.company/100/microsite_banner_image"
"100","res_company.microsite_banner_image","","portapizza/sec2/separador.png","0.98","carpeta zip 'portapizza' (exact, 1.00); coincide con el site Jev=0.98; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual"
"100","res_company.microsite_hero_image","","portapizza/hero/portada.png","0.98","carpeta zip 'portapizza' (exact, 1.00); coincide con el site Jev=0.98; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual"
"100","res_company.microsite_intro_image","","portapizza/sec1/sec1.png","0.98","carpeta zip 'portapizza' (exact, 1.00); coincide con el site Jev=0.98; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual"
"114","ir_ui_view.3672.Hero.bg","","vivamipepa/hero/portada.png","0.98","carpeta zip 'vivamipepa' (exact, 1.00); coincide con el site Jev=0.98; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual; URL final /web/image/res.company/114/microsite_hero_image"
"114","ir_ui_view.3672.SEC1.bg","","vivamipepa/sec1/sec1.png","0.98","carpeta zip 'vivamipepa' (exact, 1.00); coincide con el site Jev=0.98; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual; URL final /web/image/res.company/114/microsite_intro_image"
"114","ir_ui_view.3672.Separador.bg","","vivamipepa/sec2/separador.png","0.98","carpeta zip 'vivamipepa' (exact, 1.00); coincide con el site Jev=0.98; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual; URL final /web/image/res.company/114/microsite_banner_image"
"114","res_company.microsite_banner_image","","vivamipepa/sec2/separador.png","0.98","carpeta zip 'vivamipepa' (exact, 1.00); coincide con el site Jev=0.98; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual"
"114","res_company.microsite_hero_image","","vivamipepa/hero/portada.png","0.98","carpeta zip 'vivamipepa' (exact, 1.00); coincide con el site Jev=0.98; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual"
"114","res_company.microsite_intro_image","","vivamipepa/sec1/sec1.png","0.98","carpeta zip 'vivamipepa' (exact, 1.00); coincide con el site Jev=0.98; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual"
"122","ir_ui_view.3753.Hero.bg","","adventuremode/hero/a3beb5981d8f.webp","0.96","carpeta zip 'adventuremode' (exact, 1.00); coincide con el site Jev=0.96; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual; URL final /web/image/res.company/122/microsite_hero_image"
"122","ir_ui_view.3753.SEC1.bg","","adventuremode/sec1/55835912f4c0.webp","0.96","carpeta zip 'adventuremode' (exact, 1.00); coincide con el site Jev=0.96; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual; URL final /web/image/res.company/122/microsite_intro_image"
"122","res_company.microsite_hero_image","","adventuremode/hero/a3beb5981d8f.webp","0.96","carpeta zip 'adventuremode' (exact, 1.00); coincide con el site Jev=0.96; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual"
"122","res_company.microsite_intro_image","","adventuremode/sec1/55835912f4c0.webp","0.96","carpeta zip 'adventuremode' (exact, 1.00); coincide con el site Jev=0.96; sección elegida Jev=1.00; sección sin fondo y compañía sin imagen propia; write_date>create_date por script propio (uid 1/1), no manual"
"178","ir_ui_view.4037.SEC1.h2","Bienvenidos a nuestro espacio","Moda y complementos para cada ocasión, con las últimas tendencias a precios cercanos. Ven a M&G Moda y renueva tu armario con nosotros.","0.89","nicho Jev=moda (1.00); encaje texto=0.89; manual Jev=0.04; write_date>create_date por script propio (uid 1/1), no manual"
"178","res_company.microsite_intro_title","Bienvenidos a nuestro espacio","Moda y complementos para cada ocasión, con las últimas tendencias a precios cercanos. Ven a M&G Moda y renueva tu armario con nosotros.","0.89","nicho Jev=moda (1.00); encaje texto=0.89; manual Jev=0.04; write_date>create_date por script propio (uid 1/1), no manual"
"184","ir_ui_view.4061.SEC1.h2","Bienvenidos a nuestro espacio","Calzado que combina comodidad, estilo y confianza, especializado en la mujer actual y con una cuidada selección para hombre. Descubre en Lonrodi el zapato que hará que cada paso cuente.","0.95","nicho Jev=moda (1.00); encaje texto=0.95; manual Jev=0.34; write_date>create_date por script propio (uid 1/1), no manual"
"184","res_company.microsite_intro_title","Bienvenidos a nuestro espacio","Calzado que combina comodidad, estilo y confianza, especializado en la mujer actual y con una cuidada selección para hombre. Descubre en Lonrodi el zapato que hará que cada paso cuente.","0.95","nicho Jev=moda (1.00); encaje texto=0.95; manual Jev=0.34; write_date>create_date por script propio (uid 1/1), no manual"
"201","ir_ui_view.2983.SEC1.insert","","Atelier de costura y arreglos de ropa en Guanarteme: ajustes, transformaciones y confección a medida. Trabajo artesanal y cuidado para que tus prendas queden perfectas.","0.87","nicho Jev=costura (1.00); encaje texto=0.87; manual Jev=0.03; write_date>create_date por script propio (uid 1/1), no manual; la portada estática no tiene sección SEC1: se inserta tras Hero con fondo degradado"
"201","res_company.microsite_intro_title","","Atelier de costura y arreglos de ropa en Guanarteme: ajustes, transformaciones y confección a medida. Trabajo artesanal y cuidado para que tus prendas queden perfectas.","0.87","nicho Jev=costura (1.00); encaje texto=0.87; manual Jev=0.03; write_date>create_date por script propio (uid 1/1), no manual"
"205","ir_ui_view.3188.SEC1.insert","","Moda actual y complementos con las últimas tendencias en Guanarteme. Descubre en Fashionbrand tu estilo a un precio que te va a gustar.","0.9","nicho Jev=moda (1.00); encaje texto=0.90; manual Jev=0.03; write_date>create_date por script propio (uid 1/1), no manual; la portada estática no tiene sección SEC1: se inserta tras Hero con fondo degradado"
"205","res_company.microsite_intro_title","","Moda actual y complementos con las últimas tendencias en Guanarteme. Descubre en Fashionbrand tu estilo a un precio que te va a gustar.","0.9","nicho Jev=moda (1.00); encaje texto=0.90; manual Jev=0.03; write_date>create_date por script propio (uid 1/1), no manual"
"207","ir_ui_view.3298.SEC1.insert","","Moda y complementos con personalidad en Guanarteme, para quienes buscan algo diferente. Ven a La Cage aux Folles y encuentra prendas con carácter.","0.89","nicho Jev=moda (1.00); encaje texto=0.89; manual Jev=0.04; write_date>create_date por script propio (uid 1/1), no manual; la portada estática no tiene sección SEC1: se inserta tras Hero con fondo degradado"
"207","res_company.microsite_intro_title","","Moda y complementos con personalidad en Guanarteme, para quienes buscan algo diferente. Ven a La Cage aux Folles y encuentra prendas con carácter.","0.89","nicho Jev=moda (1.00); encaje texto=0.89; manual Jev=0.04; write_date>create_date por script propio (uid 1/1), no manual"
"208","ir_ui_view.3368.SEC1.insert","","Moda vintage y piezas únicas con historia, seleccionadas con mimo en Guanarteme. En Mar Estilo cada prenda cuenta algo y espera a su nueva dueña.","0.9","nicho Jev=moda (1.00); encaje texto=0.90; manual Jev=0.03; write_date>create_date por script propio (uid 1/1), no manual; la portada estática no tiene sección SEC1: se inserta tras Hero con fondo degradado"
"208","res_company.microsite_intro_title","","Moda vintage y piezas únicas con historia, seleccionadas con mimo en Guanarteme. En Mar Estilo cada prenda cuenta algo y espera a su nueva dueña.","0.9","nicho Jev=moda (1.00); encaje texto=0.90; manual Jev=0.03; write_date>create_date por script propio (uid 1/1), no manual"
"213","ir_ui_view.3598.SEC1.insert","","Administración de lotería y apuestas del Estado en Guanarteme, con el trato cercano de toda la vida. Prueba suerte con nosotros: tu décimo te está esperando.","0.85","nicho Jev=loteria_kiosco (1.00); encaje texto=0.85; manual Jev=0.05; write_date>create_date por script propio (uid 1/1), no manual; la portada estática no tiene sección SEC1: se inserta tras Hero con fondo degradado"
"213","res_company.microsite_intro_title","","Administración de lotería y apuestas del Estado en Guanarteme, con el trato cercano de toda la vida. Prueba suerte con nosotros: tu décimo te está esperando.","0.85","nicho Jev=loteria_kiosco (1.00); encaje texto=0.85; manual Jev=0.05; write_date>create_date por script propio (uid 1/1), no manual"
